Sample	16S	ITS
aSN1	50250.7469181	427184.3453724
aSN2	15979.1149880	55187.9882413
aSN3	67031.7306446	455727.4940038
aSN4	72624.3234765	614547.6098229
aSN5	54443.2683450	350639.7534517
aSN6	61764.4109302	286841.3186509
aSN7	31603.6414811	110232.1112321
aSN8	49233.0781168	175212.2500134
bSN1	7781.7661443	26965.4436891
bSN2	45752.7461083	313820.5949433
bSN3	58584.6733007	463420.1233563
bSN4	32588.5790612	293620.1285013
bSN5	54815.8348677	434543.1934289
bSN6	33546.9670254	251324.2551876
bSN7	36907.8781743	187865.0260761
bSN8	48400.7820757	374021.8109317
cSN1	33776.5358450	193500.2639541
cSN2	33661.5557309	157842.3802694
cSN3	53159.1140992	196432.8438419
cSN4	26109.9171156	111630.6819646
cSN5	48236.0189551	333744.1586329
cSN6	24430.2276411	95840.8141113
cSN7	32811.5894341	255494.1735392
cSN8	34829.1923719	150659.1725549
ctrlSN1	19590.1523214	49591.7053312
ctrlSN2	2769.2285644	10054.9328480
ctrlSN3	18220.8326714	57813.8360607
ctrlSN4	18189.7930849	92719.5507853
ctrlSN5	35247.3629946	217383.7626154
ctrlSN6	54443.2683450	378211.8088760
ctrlSN7	6462.0144548	15924.2629308
ctrlSN8	11518.1891956	24634.3592057
aS1	79900.2092001	405524.0838443
aS2	6528.4591536	25082.8285442
aS3	44407.7836116	128489.4555779
aS4	11776.3363433	15280.9835139
aS5	27621.0832314	82897.4551439
aS6	41978.2069974	149629.5117683
aS7	38679.5805832	76191.3217645
aS8	46262.6133706	132911.3293260
bS1	21811.5664460	111842.2770592
bS2	45094.4658708	201224.3398553
bS3	29520.1585679	117473.7923475
bS4	13134.0814662	52478.1668038
bS5	30079.0251688	97698.9676769
bS6	22319.4290183	31104.6064706
bS7	25712.3247164	45251.8514728
bS8	28384.9466777	41779.8595495
cS1	55049.9825326	161538.3751560
cS2	31603.6414811	79525.9737256
cS3	43619.8590101	130022.3861571
cS4	21755.8554692	37355.5935403
cS5	22405.2150873	81181.6124806
cS6	31281.9890992	76044.7443347
cS7	45132.9247181	89043.7316811
cS8	37702.9073678	60334.6245847
ctrlS1	35822.9222711	169401.8150345
ctrlS2	40674.7934329	113977.2151517
ctrlS3	28481.9031118	124583.8708078
ctrlS4	14900.2591051	67587.0204699
ctrlS5	40260.8175878	231016.5671352
ctrlS6	30233.2712223	153554.9287521
ctrlS7	45056.0397951	197559.5664999
ctrlS8	54629.2339984	402537.9883375
aR1	92281.9731335	2464.3573363
aR2	191930.8895197	7803.6824366
aR3	277859.2860502	4555.9615254
aR4	216814.2578851	3631.0392887
aR5	170629.0867469	15303.1276917
aR6	183921.8602147	8499.2221877
aR7	206883.1692540	9690.1960052
aR8	205827.6793548	8711.2820047
bR1	147609.3542711	792.7137968
bR2	143637.0589789	2604.5351898
bR3	179277.7675982	625.6562347
bR4	193244.3122121	946.5605512
bR5	149381.6002345	2406.9343631
bR6	122575.4877851	1353.6977975
bR7	158702.3922774	50.5547397
bR8	177453.1322626	7726.6589713
cR1	135085.8649217	6896.6919802
cR2	107862.1454277	
cR3	210799.8180524	7174.0957742
cR4	155620.9892567	7506.2243203
cR5	170338.4163706	9648.0450868
cR6	159924.7011774	7260.3344759
cR7	1348.6034179	
cR8	189330.7642624	6759.9890284
ctrlR1	168317.5411734	12391.9835754
ctrlR2	116463.4898956	3379.7771398
ctrlR3	174453.2479346	11616.1777221
ctrlR4	171796.7368062	4811.1749416
ctrlR5	242637.6913513	11279.6922064
ctrlR6	174899.9764417	4457.9390280
ctrlR7	179890.1391219	6620.0153812
ctrlR8	219979.2702302	24303.0900423
